Original Text,Translation,Paraphrase 1,Paraphrase 2
"News Corp. Assures Investors on U.S. Move  SYDNEY (Reuters) - Buckling under investor pressure, Rupert  Murdoch's News Corp. Ltd. agreed on Thursday to stick to  Australia's tough corporate governance standards when it moves  its legal base to the United States.","News Corp. Asegura a los Inversores sobre el Movimiento en EE.UU. SÍDNEY (Reuters) - Cediendo bajo la presión de los inversores, el jueves News Corp. Ltd. de Rupert Murdoch acordó adherirse a los estrictos estándares de gobernanza corporativa de Australia cuando traslade su base legal a los Estados Unidos.","1. Yielding to the pressure from investors, News Corp. Ltd., led by Rupert Murdoch, committed on Thursday to adhere to Australia's strict corporate governance rules when it relocates its legal base to the United States, reassuring its investors.",   
"Profit Tumbles at May Department Stores May Department Stores (MAY:NYSE - news - research) reported dismal third-quarter results Tuesday, weighed down by its acquisition of Marshall Field #39;s and negative sales trends.","Las ganancias se desploman en las tiendas May Department Stores May Department Stores (MAY:NYSE - noticias - investigación) informó resultados desalentadores del tercer trimestre el martes, lastrados por su adquisición de Marshall Field #39;s y tendencias de ventas negativas.",1. May Department Stores (MAY:NYSE - news - research) revealed disappointing third-quarter results on Tuesday. The company's profit took a hit primarily due to its acquisition of Marshall Field #39's and ongoing negative sales trends.,"2. On Tuesday, May Department Stores (MAY:NYSE - news - research) reported that their third-quarter earnings have drastically fallen. The poor performance has been attributed to their purchase of Marshall Field #39's and steadily declining sales trends."
Space Station Astronauts Move Soyuz to Prepare for Spacewalks The two astronauts aboard the International Space Station moved the Soyuz spacecraft that brought them to the orbiting outpost to prepare for a pair of spacewalks to be conducted next year.,Los astronautas de la Estación Espacial mueven la Soyuz para prepararse para caminatas espaciales. Los dos astronautas a bordo de la Estación Espacial Internacional movieron la nave espacial Soyuz que los llevó al puesto de avanzada en órbita para prepararse para un par de caminatas espaciales que se realizarán el próximo año.,"1. In preparation for a couple of spacewalks planned for next year, the two astronauts currently residing on the International Space Station have relocated the Soyuz spacecraft that brought them to the orbital station.",   
Malaysian PM denies deal with Anwar KUALA LUMPUR - Malaysian Prime Minister Abdullah Ahmad Badawi has denied that he struck a deal with rebel politician Anwar Ibrahim before Anwar was freed last week after nearly six years in jail.,"El Primer Ministro malasio niega trato con Anwar KUALA LUMPUR - El Primer Ministro malasio, Abdullah Ahmad Badawi, ha negado que haya hecho un trato con el político rebelde Anwar Ibrahim antes de que Anwar fuera liberado la semana pasada después de pasar casi seis años en prisión.","1. Abdullah Ahmad Badawi, the Prime Minister of Malaysia, has rejected claims that he made a deal with the dissident politician, Anwar Ibrahim, ahead of Anwar's release last week after almost six years of imprisonment.","2. A deal with opposition politician, Anwar Ibrahim, was not made prior to his release from a near six-year imprisonment, according to Malaysian Prime Minister Abdullah Ahmad Badawi."
Nets make sure Storey has a happy ending Not too many 27-year-old rookies come down the pike in the NBA. But Nets coach Lawrence Frank wasn #39;t concerned that Awvee Storey #39;s only previous NBA experience was a summer camp with the Dallas Mavericks.,"Las redes aseguran que Storey tenga un final feliz. No son muchos los novatos de 27 años que llegan a la NBA. Pero al entrenador de los Nets, Lawrence Frank, no le preocupaba que la única experiencia previa de Awvee Storey en la NBA fuera un campamento de verano con los Dallas Mavericks.","1. Despite being a 27-year-old rookie, which is relatively rare in NBA, Awvee Storey's lack of experience didn't worry Nets coach Lawrence Frank. Storey's only background in NBA was a summer camp stint with the Dallas Mavericks, but that didn't stop the Nets from ensuring he had a happy ending.","2. Awvee Storey might have been a 27-year-old NBA rookie with just a Dallas Mavericks' summer camp under his belt, but Nets coach Lawrence Frank didn't fret about his inexperience, assuring Storey has a satisfying finish."
Nortel makes security push Nortel Networks is pushing its security features to the forefront with a series of updated products and a new relationship with security vendor Symantec.,Nortel impulsa la seguridad. Nortel Networks está destacando sus características de seguridad con una serie de productos actualizados y una nueva relación con el proveedor de seguridad Symantec.,"1. In an attempt to highlight its security features, Nortel Networks is introducing a stream of updated products and partnering with security vendor Symantec.",2. Nortel Networks is bolstering its security profile through the launch of revised products and a fresh alliance with security provider Symantec.
"Web Sites Spoof Bush and Kerry With Parodies If you're not ready to feverishly debate Iraq or the deficit in this bitterly divisive election year, you can always surf the Web, where politics is frequently nothing but a big joke. President Bush and challenger John Kerry are spoofed as utter fools on the Internet daily, usually in good fun.","Sitios web parodian a Bush y Kerry con parodias. Si no estás listo para debatir fervorosamente sobre Irak o el déficit en este amargamente divisivo año electoral, siempre puedes navegar por la web, donde la política frecuentemente no es más que una gran broma. El Presidente Bush y el retador John Kerry son parodiados como auténticos tontos en Internet a diario, usualmente en tono de buen humor.","1. If you're not prepared for intense arguments about Iraq or the deficit during this highly polarized election year, the internet offers a less serious take on politics. It's a place where political figures like President Bush and his opponent John Kerry are often humorously depicted as complete buffoons, mostly in a light-hearted manner.","2. Instead of heatedly discussing Iraq or the budget shortfall in this extremely contentious election year, one can opt for a more humorous perspective of politics on the web. Presidential figures like Bush and his rival Kerry are regularly ridiculed as absolute buffoons on the Internet, generally in a jovial spirit."
"Ukrainian region seeks autonomy Supporters of Ukraine's PM announce a vote for autonomy, upping the stakes in the disputed election.","La región ucraniana busca autonomía. Los partidarios del primer ministro de Ucrania anuncian una votación por la autonomía, aumentando las apuestas en la controvertida elección.","1. Advocates for Ukraine's Prime Minister put forth an autonomy vote, intensifying the conflict in the contentious election, as the Ukrainian region pushes for independence. ","2. The Ukrainian region is aiming for autonomy, and with supporters of the country's Prime Minister declaring a vote for autonomy, the disputed election's tension escalates."
"Sun postpones September user show In a bid to save money, Sun Microsystems is postponing its SunNetwork 2004 San Francisco user conference and may merge the event with its JavaOne 2005 developer conference, set for next June.","El Sol pospone el espectáculo de usuarios de septiembre En un intento por ahorrar dinero, Sun Microsystems está posponiendo su conferencia de usuarios SunNetwork 2004 en San Francisco y puede fusionar el evento con su conferencia de desarrolladores JavaOne 2005, programada para el próximo junio.","1. In an effort to cut costs, Sun Microsystems has decided to delay its SunNetwork 2004 San Francisco user conference, with the possibility of combining it with its JavaOne 2005 developer conference in June.","2. To economize, Sun Microsystems has pushed back its SunNetwork 2004 San Francisco user conference and is considering amalgamating the event with their JavaOne 2005 developer conference, scheduled for the upcoming June."
"Kidnappers Release Seven Hostages in Iraq BAGHDAD, Iraq - Kidnappers released two female Italian aid workers and five other hostages Tuesday, raising hopes for at least 18 foreigners still in captivity. But insurgents showed no sign of easing their blood-soaked campaign against the U.S...","Secuestradores liberan a siete rehenes en Iraq BAGDAD, Iraq - Los secuestradores liberaron a dos trabajadoras de ayuda italiana y a otros cinco rehenes el martes, incrementando las esperanzas para al menos 18 extranjeros aún en cautiverio. Sin embargo, los insurgentes no mostraron señales de aliviar su sangrienta campaña contra los EE.UU...","1. In Iraq, seven hostages were released by kidnappers consisting of two Italian female aid workers and five other persons. The release raises expectations for the liberation of the remaining 18 foreign captives. However, the insurgents continue their ruthless offensive against the U.S., showing no inclination to relent. ","2. Tuesday witnessed the release of seven hostages in Iraq, including two Italian female aid workers, instilling hope for the other 18 foreigners currently held captive. Despite this, the insurgent group's violent campaign against the U.S. shows no signals of being scaled down."
"Barroso heading for victory in commission vote The new European commission will start work on Monday after its incoming president, Jos Manuel Barroso, won the guarantee of substantial support for his team last night by making further concessions to the European parliament.","Barroso se dirige hacia la victoria en la votación de la comisión. La nueva Comisión Europea comenzará a trabajar el lunes después de que su presidente entrante, José Manuel Barroso, obtuvo la garantía de un apoyo sustancial para su equipo anoche al hacer más concesiones al Parlamento Europeo.","1. The new European Commission is set to commence work on Monday, following President-elect Jos Manuel Barroso securing widespread backing for his team after making additional compromises to the European Parliament; Barroso is therefore on track for a victory in the commission vote.","2. Following further conciliations to the European Parliament, which won him significant support for his team, Jos Manuel Barroso, the president-elect of the new European Commission, is poised for success in the impending commission vote, with work set to begin on Monday."
"Shifts and shake-ups in open source MySQL developers turn to an unlikely source for database tool: Microsoft. Also: SGI visualizes Linux, and the return of Java veteran Kim Polese.","Cambios y conmociones en los desarrolladores de MySQL de código abierto se dirigen a una fuente improbable para la herramienta de base de datos: Microsoft. Además: SGI visualiza Linux, y el regreso de la veterana de Java, Kim Polese.","1. Unanticipated source, Microsoft, becomes the choice for open source MySQL developers experiencing changes and turbulence. In other news: SGI envisions Linux and Java veteran Kim Polese makes a comeback.","2. Open source MySQL developers dealing with changes are surprisingly gravitating towards Microsoft for database tools. Furthermore: SGI is visualizing Linux, and Kim Polese, a Java veteran, is making a return."
Lockheed Martin Defends Polish Investment Lockheed Martin Corp. defended itself Friday against criticism it was moving too slowly in investing \$6 billion in Poland - a commitment that helped win the US company an order for 48 F-16 fighter jets over its European competitors.,"Lockheed Martin Defiende Inversión en Polonia. Lockheed Martin Corp. se defendió el viernes contra críticas de que estaba avanzando demasiado lentamente en su inversión de $6 mil millones en Polonia - un compromiso que ayudó a la compañía estadounidense a ganar un pedido de 48 aviones de combate F-16 por encima de sus competidores europeos.
","1. On Friday, Lockheed Martin Corp. responded to criticism suggesting that it was not investing rapidly enough in Poland, a decision that secured them an order for 48 F-16 fighter jets from the US over their European counterparts. The investment totals $6 billion.","2. Amid criticism for alleged slow progress in its $6 billion investment in Poland, Lockheed Martin Corp. stood its ground on Friday. The investment played a key role in the US company outperforming European rivals to secure an order for 48 F-16 fighter jets."
"It #39;s never too early to be thinking about retirement -- just ask &lt;b&gt;...&lt;/b&gt; Banks can destroy checks: The new law, known as Check 21, allows banks to destroy original paper checks and to convert them into digitized equivalents.","Nunca es demasiado temprano para pensar en la jubilación, solo pregúntale a &lt;b&gt;...&lt;/b&gt;. Los bancos pueden destruir cheques: La nueva ley, conocida como Check 21, permite a los bancos destruir los cheques originales en papel y convertirlos en equivalentes digitalizados.","1. Begin pondering over your retirement as early as possible, as advised by... Destruction of checks by banks is made possible by the new law, Check 21. The law permits banks to convert original paper checks into their digital counterparts and then discard them.","2. Look into your retirement plans earlier than later, according to the advice of... Under Check 21 law, banks are authorized to digitalize original paper checks and thereafter, get rid of them."
Verizon Wireless agrees to buy NextWave licenses Verizon Wireless has agreed to buy wireless spectrum licenses covering 23 US markets from bankrupt NextWave Telecom Inc. for \$3 billion in a deal that would boost Verizon #39;s capacity in several major markets.,Verizon Wireless acepta comprar licencias de NextWave. Verizon Wireless ha acordado comprar licencias de espectro inalámbrico que cubren 23 mercados en los EE. UU. de la quebrada NextWave Telecom Inc. por 3 mil millones de dólares en un acuerdo que aumentaría la capacidad de Verizon en varios mercados importantes.,"1. Verizon Wireless has struck a $3 billion agreement to purchase wireless spectrum licenses that encompasses 23 US markets from NextWave Telecom Inc., a company presently in bankruptcy. This strategic move would significantly enhance Verizon's capacity in numerous key markets. ","2. With an eye towards enhancing its capacity in various major markets, Verizon Wireless has announced its plans to purchase wireless spectrum licenses covering 23 American markets from a bankrupt company, NextWave Telecom Inc., for an amount of $3 billion."
"Casino Forks Over \$28K for Cheese Sandwich HOLLYWOOD, Fla. - An online casino forked over \$28,000 Wednesday to the owner of a 10-year-old, partially eaten cheese sandwich thought to be embedded with the image of the Virgin Mary - and then sent the  quot;religious icon quot; on a world tour.","Casino Desembolsa \$28K por un Sándwich de Queso HOLLYWOOD, Florida. - Un casino en línea desembolsó \$28,000 el miércoles al dueño de un sándwich de queso de 10 años, parcialmente comido, en el que se cree que está incrustada la imagen de la Virgen María - y luego envió el ""icono religioso"" en una gira mundial.","1. The owner of a 10-year-old partially eaten cheese sandwich, believed to carry the image of the Virgin Mary, received \$28,000 from an online casino in Hollywood, Florida. The casino then proceeded to dispatch this ""religious icon"" on a global tour.","2. In Hollywood, Florida, a cheese sandwich thought to bear the Virgin Mary's image and partly eaten 10 years ago was purchased by an online casino for \$28,000. The casino then arranged for this so-called ""religious icon"" to be presented globally."
9/11: NY port authority sues Saudi Arabia The New York port authority has decided to join a lawsuit charging Saudi Arabia with providing financial assistance to the Osama bin Laden-led Al Qaeda.,"9/11: La Autoridad Portuaria de NY demanda a Arabia Saudita. La Autoridad Portuaria de Nueva York ha decidido unirse a una demanda que acusa a Arabia Saudita de proporcionar asistencia financiera a Al Qaeda, liderada por Osama bin Laden.","1. The Port Authority of New York is taking legal action against Saudi Arabia, accusing it of financially supporting Al Qaeda, led by Osama bin Laden. ",   
"Fincke #39;s space odyssey in its final day Emsworth #39;s Mike Fincke returns to Earth on Saturday, six months after leaving for the space voyage he had dreamed of since he was a young boy.","La odisea espacial de Fincke #39 llega a su día final. Mike Fincke de Emsworth regresa a la Tierra el sábado, seis meses después de partir para el viaje espacial con el que soñaba desde que era un niño pequeño.","1. Emsworth's Mike Fincke will be returning to Earth this Saturday, concluding his space odyssey that he has fantasized about since childhood, a full half year after his departure.","2. After being away for six months on the space journey he had always dreamed about since he was a child, Mike Fincke from Emsworth is finally returning to Earth on Saturday, marking the end of his space odyssey."
"Warning on internet health advice People with chronic disease should not rely on the net for health advice, research suggests.","Advertencia sobre consejos de salud en internet: Las personas con enfermedades crónicas no deberían depender de la red para obtener consejos de salud, sugieren las investigaciones.",1. Research suggests that individuals with chronic illnesses should not depend on the internet for medical guidance.,"2. It is advised, according to research, that people suffering from chronic diseases should not trust health advice found on the internet."
Hamas militants vow revenge for assassination Hamas vowed revenge yesterday after an Israeli airstrike in Gaza killed one of its senior commanders - the latest assassination to have weakened the militant group.,"Los militantes de Hamas juran venganza por asesinato. Hamas juró venganza ayer después de que un ataque aéreo israelí en Gaza mató a uno de sus comandantes superiores, la última asesinato que ha debilitado al grupo militante.","1. After an Israeli airstrike in Gaza resulted in the death of one of their senior commanders, Hamas militants pledged retaliation yesterday - a recent killing that has further debilitated the militant group.","2. In response to the killing of one of its high-ranking commanders in an Israeli airstrike in Gaza, Hamas proclaimed a promise of retribution yesterday - the newest in a series of assassinations that have undermined the militant group."
Can Lifeway Survive a Disaster? What happens when a great company gets hit by unforeseen circumstances?,¿Puede Lifeway sobrevivir a un desastre? ¿Qué sucede cuando una gran empresa es golpeada por circunstancias imprevistas?,1. Is Lifeway equipped to endure a catastrophe? How does a successful company react to unexpected situations?,2. Can Lifeway withstand a crisis? What occurs when an exceptional corporation faces unpredicted challenges?
Delta Hedging Its Bets on Debt Swaps Delta Air Lines (DAL:NYSE - news - research) appears to have given up on part of a debt exchange that is part of its restructuring plan.,Delta Cubriendo sus Apuestas en Swaps de Deuda. Delta Air Lines (DAL:NYSE - noticias - investigación) parece haber abandonado una parte de un intercambio de deuda que es parte de su plan de reestructuración.,"1. It seems that Delta Air Lines (DAL:NYSE - news - research) has abandoned a segment of its debt exchange, which is a crucial component of its restructuring plan. It's like Delta is hedging its bets on debt swaps.","2. In its restructuring plan, a part of the debt exchange appears to no longer be pursued by Delta Air Lines (DAL:NYSE - news - research), indicative of the airline hedging its bets on debt swaps."
"Danes to seek oil at North Pole Denmark is to undertake an expedition to try to back its bid for the North Pole, the country's Science Ministry says.","Los daneses buscarán petróleo en el Polo Norte. Dinamarca emprenderá una expedición para intentar respaldar su reclamo por el Polo Norte, dice el Ministerio de Ciencia del país.","1. The Science Ministry of Denmark has announced that the country will be launching an expedition to the North Pole to support its claim, with the pursuit of oil as a major intent. ","2. In an emphasis to reinforce its claim on the North Pole, Denmark, driven by the ambition of oil exploration, is set to embark on an expedition, states the country's Science Ministry."
Seahawks outclassed Still lacking in the Patriots #39; 5-0 start is a wire-to-wire performance of consistent quality. But who #39;s to quibble? A win is a win -- even when the head coach ,"Los Seahawks superaron con creces a los Patriots. Aún falta en el inicio 5-0 de los Patriots una actuación de calidad consistente de principio a fin. Pero, ¿quién tiene pegas? Una victoria es una victoria, incluso cuando el entrenador en jefe","1) Despite lacking a wire-to-wire quality performance in their 5-0 start, the Seahawks proved superior. However, one may ask, does that really matter? A victory remains a victory, regardless of the circumstances, even from the head coach's perspective.",   
"Crude oil prices fall amid optimism over US oil stockpiles Crude oil prices fell Tuesday astraders widely anticipated a continuing increase in US inventories of crude oil. On the New York Mercantile Exchange, crude oil futures for ","Los precios del petróleo crudo caen ante el optimismo sobre las reservas de petróleo de EE. UU. Los precios del petróleo crudo cayeron el martes mientras los operadores anticipaban ampliamente un continuo aumento en las reservas de petróleo crudo de EE. UU. En la Bolsa Mercantil de Nueva York, los futuros del petróleo crudo para","1) On the New York Mercantile Exchange, crude oil futures experienced a decrease in price due to the optimism concerning the ongoing growth of US oil stockpiles. There was an expectation amongst traders on Tuesday that US crude oil inventories would continue to rise, causing crude oil prices to fall.","2) Anticipated to continue their growth, US inventories of crude oil sparked optimism, leading to a dip in crude oil prices on the New York Mercantile Exchange. On Tuesday, this anticipation was widespread among traders, and as a result, crude oil futures took a hit."
"Sun releases Java 5 aka 1.5.0  quot;If they repeated history, then Java 1.3 should have been Java3 and Java 1.4 would have been Java 4 making Java 1.5 as Java5.","El Sol lanza Java 5 también conocido como 1.5.0 ""Si hubieran repetido la historia, entonces Java 1.3 debería haber sido Java3 y Java 1.4 habría sido Java 4, haciendo a Java 1.5 como Java5.","1. ""If historical patterns were to stay consistent, then Java 1.3 should have been named Java3 and Java 1.4 should have been Java 4, leading to Java 1.5 being Java5, following the release of Java 5, also known as 1.5.0, by Sun.""","2. ""Taking into account past trends, Java 1.3 should have been labeled as Java3 and Java 1.4 as Java 4, which logically makes Java 1.5 as Java5, particularly in light of Sun's release of Java 5, referred to as 1.5.0."""
"Has Ken Jennings' 'Jeopardy!' Run Ended? LOS ANGELES - Has Ken Jennings ended his ""Jeopardy!"" streak? A report posted Wednesday on TV Week's Web site said the brainy software engineer lost in a show taped Tuesday, walking away after his 75th straight game with about \$2.5 million overall in cash and prizes. The magazine cited unidentified sources and said the show would air later this fall...","¿Ha terminado la racha de Ken Jennings en 'Jeopardy!'? LOS ÁNGELES - ¿Ha terminado Ken Jennings su racha en ""Jeopardy!""? Un informe publicado el miércoles en el sitio web de TV Week afirmaba que el ingenioso ingeniero de software perdió en un programa grabado el martes, retirándose después de su 75º juego consecutivo con alrededor de $2.5 millones en total en efectivo y premios. La revista citó a fuentes no identificadas y dijo que el programa se emitiría más adelante este otoño...","1. Did the ""Jeopardy!"" winning streak of Ken Jennings come to an end? A piece uploaded on TV Week's online platform on Wednesday claimed that the ingenious software engineer met his defeat in an episode recorded on Tuesday, thus concluding his 75-game victorious run. He purportedly exited with around $2.5 million in total cash and rewards. Anonymous insiders were cited by the magazine, mentioning that the episode will be broadcasted later this Autumn...","2. Is Ken Jennings' record-breaking performance on ""Jeopardy!"" over? An article on TV Week's site that was published on Wednesday indicated that the intellectual software engineer suffered a loss on an episode taped on Tuesday, drawing his remarkable 75-game winning streak to a close. He is said to have left with approximately $2.5 million in collective cash and prizes. The show is expected to screen later in the fall, according to unsourced information referred to in the magazine..."
"Revelations should cast Thomas in a different light The news is not so much shocking as sad. Surely, everyone whose eyes were open suspected that Jason Giambi and Barry Bonds had been using performance-enhancing drugs for many years.","Las revelaciones deberían mostrar a Thomas bajo una luz diferente. La noticia no es tanto impactante como triste. Seguramente, todos aquellos cuyos ojos estaban abiertos sospechaban que Jason Giambi y Barry Bonds habían estado usando drogas para mejorar el rendimiento durante muchos años.",1. The uncovering of information should inevitably depict Thomas from a different viewpoint. It's not so shocking as it is heartbreaking. It was essentially an open secret that there was a long history of alleged performance-enhancing drug use by Jason Giambi and Barry Bonds.,2. The disclosures should change the way we perceive Thomas. These aren't shocking revelations but rather unfortunate news. It was practically common knowledge for all aware folks that performance-enhancing drugs were supposedly a part of Jason Giambi's and Barry Bonds' routines for many years.
"AOL Releases Version 9.0 with Security Software America Online today released AOL 9.0 Security Edition features a suite of safety and security features, marking the Internet service provider #39;s first version to focus specifically on safety and security.","AOL lanza la versión 9.0 con Software de Seguridad. America Online lanzó hoy la AOL 9.0 Edición de Seguridad que presenta un conjunto de características de seguridad y protección, marcando así la primera versión del proveedor de servicios de Internet #39 enfocada específicamente en seguridad y protección.","1. For the first time, the internet service provider America Online is focusing specifically on safety and security, launching AOL 9.0 Security Edition with a comprehensive suite of protective features today.","2. Today, America Online emphasized safety and security with the release of AOL 9.0 Security Edition, making it their debut version to concentrate specifically on these features."
